DAUID,DGUID,LANDAREA,PRUID,X,Y
35200482,2021S051235200482,0.0712,35,637104.6845379960,4841035.763662260
35200483,2021S051235200483,0.1011,35,637052.1537347610,4840766.120528510
35200484,2021S051235200484,0.0351,35,637248.2369800190,4840752.518342290
35200488,2021S051235200488,0.0748,35,637350.8498212670,4840416.504912060
35200489,2021S051235200489,0.0372,35,637455.4958248290,4840572.030085680
35200490,2021S051235200490,0.0743,35,637691.5581191280,4840535.854725430
35200491,2021S051235200491,0.131,35,637715.6667639390,4840798.374432210
35200492,2021S051235200492,0.0603,35,637917.6102499760,4840461.425286460
35200493,2021S051235200493,0.0741,35,638013.5154087900,4840271.628329660
35200494,2021S051235200494,0.0733,35,637679.4416278110,4840301.250176100
35200495,2021S051235200495,0.1659,35,637823.8707308420,4839969.481585010
35200497,2021S051235200497,0.033,35,637122.5791863870,4839974.480749740
35200498,2021S051235200498,0.1245,35,636913.8774529510,4840092.682206050
35200499,2021S051235200499,0.105,35,636835.7489721140,4839878.410592280
35200505,2021S051235200505,0.0502,35,637099.8598745460,4839260.351767530
35200506,2021S051235200506,0.0743,35,637011.2636689040,4839070.061437260
35200510,2021S051235200510,0.0567,35,636744.9621444990,4839148.096026600
35200511,2021S051235200511,0.0644,35,636552.5455029590,4839193.503672130
35200512,2021S051235200512,0.0602,35,636438.0972481590,4839016.975859540
35200513,2021S051235200513,0.0591,35,636322.6789895860,4839213.782123930
35200514,2021S051235200514,0.0624,35,636119.2833104970,4839081.182353720
35200515,2021S051235200515,0.1076,35,636130.3146227860,4839453.757307810
35200516,2021S051235200516,0.0602,35,635909.1065288310,4839297.944697730
35200517,2021S051235200517,0.0747,35,635776.1513423850,4839413.993950670
35200518,2021S051235200518,0.0535,35,635528.3058787910,4839378.573950160
35200519,2021S051235200519,0.0581,35,635614.6662184660,4839122.998276340
35200520,2021S051235200520,0.0839,35,635300.9200607460,4839068.040791240
35200521,2021S051235200521,0.0886,35,635265.6081324080,4839293.905454520
35200522,2021S051235200522,0.0879,35,634940.0502424810,4839190.247555360
35200523,2021S051235200523,0.1576,35,634859.3493767600,4839506.095253520
35200524,2021S051235200524,0.1148,35,635223.1516236360,4839743.793897810
35200525,2021S051235200525,0.1822,35,634988.5156801500,4839899.471299870
35200529,2021S051235200529,0.2772,35,635801.2871989290,4840364.636545210
35200531,2021S051235200531,0.166,35,636657.5022127110,4840531.114363600
35200532,2021S051235200532,0.1113,35,636880.8120067170,4840444.619892050
35200533,2021S051235200533,0.0731,35,636435.6247380920,4840118.339766130
35200534,2021S051235200534,0.1634,35,636451.0625944580,4840918.202881000
35200535,2021S051235200535,0.068,35,636751.7643210220,4840957.240485270
35200536,2021S051235200536,0.1419,35,636254.6125684580,4840979.003792160
