DAUID,Population,Population 15 to 64,Pop_65plus,Pop15plus
35201111,686,480,105,585
35201112,433,295,70,365
35201113,422,330,50,380
35201114,509,395,55,450
35201122,288,175,65,240
35201123,327,240,45,285
35201124,415,310,60,370
35201125,400,275,60,335
35201126,324,215,70,285
35201127,550,395,75,470
35201128,456,325,75,400
35201129,580,390,95,485
35201130,391,265,70,335
35201131,707,490,120,610
35201132,690,485,115,600
35201133,488,330,85,415
35201134,487,355,80,435
35201139,383,290,60,350
35201140,435,325,70,395
35201141,529,365,80,445
35201142,459,330,60,390
35201143,553,370,80,450
35201144,316,225,50,275
35201145,627,430,120,550
35201146,359,240,60,300
35201147,379,270,45,315
35201148,413,285,65,350
35201149,284,210,40,250
35201150,297,215,45,260
35201151,295,210,45,255
35201152,336,255,40,295
35201153,471,315,95,410
35201154,510,355,80,435
35201155,398,265,80,345
35201156,453,310,75,385
35201157,343,215,65,280
35201158,818,585,120,705
35201159,732,510,105,615
35201160,342,220,55,275
35201161,237,155,65,220
35201162,529,350,100,450
35201163,223,170,25,195
35201164,383,270,65,335
35201165,562,405,65,470
35201166,1076,795,115,910
35201167,181,140,25,165
35201168,465,340,55,395
35201169,445,315,65,380
35201170,616,450,65,515
35201171,332,235,45,280
35201172,503,365,80,445
35201173,367,260,40,300
35201174,424,280,75,355
35201175,527,385,55,440
35201176,454,315,55,370
35201177,430,305,55,360
35201178,492,345,70,415
35201179,417,315,55,370
35201180,475,325,85,410
35201181,434,305,65,370
35201182,716,465,130,595
35201185,522,365,80,445
35201186,587,415,90,505
35201187,318,215,60,275
35201188,646,455,85,540
35201191,329,220,60,280
35201192,430,300,55,355
35201193,483,340,65,405
35201194,391,260,65,325
35201195,373,260,55,315
35201196,1001,705,150,855
35201197,312,230,45,275
35201198,925,680,135,815
35201199,561,385,85,470
35201200,592,420,90,510
35201201,448,300,90,390
35201202,454,305,90,395
35201203,787,540,105,645
35201204,437,315,60,375
35201205,664,465,110,575
35201206,643,460,90,550
35201209,316,225,55,280
35201210,273,195,50,245
35201211,413,275,70,345
35201212,493,320,115,435
35201213,413,290,65,355
35201214,259,175,50,225
35201215,682,470,75,545
35201216,548,400,75,475
35201217,603,440,50,490
35201219,947,675,155,830
35201228,367,265,50,315
35201240,308,205,60,265
35201241,617,415,115,530
35201242,663,290,310,600
35201243,424,275,95,370
35201244,275,165,75,240
35201249,531,375,85,460
35201250,813,585,105,690
35201251,939,675,130,805
35201252,348,245,55,300
35201253,521,390,70,460
35201254,479,340,70,410
35201255,369,265,60,325
35201256,331,225,70,295
35201257,310,220,45,265
35201259,450,305,75,380
35201263,363,250,60,310
35201264,762,515,125,640
35201267,460,320,85,405
35201278,514,315,75,390
35201279,497,340,60,400
35201280,439,330,40,370
35201281,449,290,55,345
35201282,584,405,75,480
35201283,390,280,45,325
35201284,393,275,65,340
35201285,387,265,55,320
35201286,262,190,30,220
35201287,399,295,55,350
35201288,526,360,85,445
35201289,313,220,50,270
35201290,395,255,60,315
35201291,669,465,90,555
35201292,543,355,90,445
35201293,499,345,60,405
35201294,501,320,90,410
35201295,570,360,105,465
35201297,899,660,135,795
35201298,971,470,415,885
35201312,1085,775,175,950
35201313,429,305,65,370
35201314,501,345,75,420
35201315,546,370,75,445
35201316,551,410,55,465
35201317,418,295,70,365
35201318,513,365,65,430
35201319,528,400,80,480
35201320,751,545,70,615
35201321,509,350,80,430
35201322,552,390,80,470
35201323,428,295,50,345
35201324,391,255,50,305
35201325,410,290,50,340
35201326,641,505,50,555
35201327,494,395,55,450
35201328,303,240,25,265
35201329,360,310,35,345
35201331,436,355,35,390
35201332,759,545,170,715
35201333,381,310,45,355
35201334,908,660,140,800
35201337,547,385,100,485
35201338,407,330,40,370
35201339,310,255,40,295
35201347,532,365,70,435
35201348,533,385,45,430
35201349,498,345,50,395
35201350,686,470,80,550
35201351,433,310,50,360
35201352,382,275,45,320
35201353,414,310,30,340
35201354,406,300,45,345
35201355,450,325,45,370
35201356,367,260,50,310
35201357,1067,830,125,955
35201358,642,495,55,550
35201359,444,310,70,380
35201360,604,445,70,515
35201361,710,540,75,615
35201362,1733,1405,160,1565
35201363,372,260,45,305
35201364,470,340,70,410
35201365,768,565,90,655
35201368,322,220,50,270
35201369,614,400,95,495
35201370,367,270,35,305
35201371,390,295,50,345
35201372,472,340,50,390
35201373,370,250,40,290
35201374,706,475,105,580
35201375,615,435,95,530
35201376,688,525,80,605
35201377,360,285,30,315
35201378,521,415,40,455
35201379,594,435,70,505
35201380,468,335,45,380
35201381,411,295,70,365
35201383,419,290,60,350
35201384,387,270,60,330
35201387,619,380,155,535
35201388,656,450,80,530
35201389,954,670,140,810
35201390,581,415,85,500
35201391,320,230,55,285
35201393,573,410,85,495
35201394,551,395,90,485
35201395,470,335,65,400
35201396,1442,905,365,1270
35201397,543,395,90,485
35201398,425,290,75,365
35201399,439,325,55,380
35201400,268,205,35,240
35201401,1723,1315,190,1505
35201402,624,470,75,545
35201403,282,210,30,240
35201404,397,210,135,345
35201405,331,185,105,290
35201406,555,395,60,455
35201407,1014,815,95,910
35201408,516,360,70,430
35201409,384,290,50,340
35201410,365,290,35,325
35201411,578,440,85,525
35201412,365,265,60,325
35201413,419,310,70,380
35201414,475,345,65,410
35201415,362,260,45,305
35201416,449,235,190,425
35201417,312,235,50,285
35201418,401,290,60,350
35201419,440,270,105,375
35201420,467,375,45,420
35201421,369,290,35,325
35201422,572,405,100,505
35201423,375,290,50,340
35201426,440,305,75,380
35201427,489,340,80,420
35201428,615,475,95,570
35201429,493,360,85,445
35201430,427,300,70,370
35201431,346,275,45,320
35201432,597,445,95,540
35201433,618,435,115,550
35201434,476,370,75,445
35201435,379,290,65,355
35201436,504,380,105,485
35201437,485,385,75,460
35201438,481,365,50,415
35201439,530,355,125,480
35201440,459,345,75,420
35201441,445,295,105,400
35201442,802,620,90,710
35201443,358,260,60,320
35201444,390,300,55,355
35201445,343,260,45,305
35201446,252,195,35,230
35201447,340,255,55,310
35201448,342,265,45,310
35201449,344,235,70,305
35201451,356,265,55,320
35201452,1243,1100,50,1150
35201459,372,300,50,350
35201460,878,515,330,845
35201461,119,10,105,115
35201463,1124,890,105,995
35201464,721,530,120,650
35201466,457,355,50,405
35201467,591,460,40,500
35201468,420,175,210,385
35201469,2249,1780,205,1985
35201471,777,515,165,680
35201477,438,280,65,345
35201478,443,275,70,345
35201479,423,235,115,350
35201480,428,275,60,335
35201481,381,275,45,320
35201482,527,335,100,435
35201483,500,325,90,415
35201485,511,330,100,430
35201486,425,295,60,355
35201487,769,495,105,600
35201488,651,415,100,515
35201489,459,285,90,375
35201490,463,305,50,355
35201491,557,390,70,460
35201492,529,340,65,405
35201493,727,480,95,575
35201494,706,465,110,575
35201495,890,565,175,740
35201496,1353,585,685,1270
35201497,551,355,110,465
35201498,394,260,65,325
35201499,530,345,90,435
35201500,554,335,120,455
35201501,696,415,165,580
35201502,640,420,85,505
35201503,563,365,100,465
35201504,404,220,130,350
35201505,532,315,105,420
35201506,647,435,125,560
35201507,852,505,225,730
35201508,734,445,130,575
35201509,548,360,75,435
35201510,540,305,105,410
35201511,609,400,115,515
35201512,639,390,140,530
35201513,612,375,110,485
35201514,720,470,140,610
35201515,611,390,125,515
35201516,670,425,120,545
35201517,580,375,115,490
35201518,496,340,90,430
35201519,1139,780,220,1000
35201520,690,510,80,590
35201521,613,440,85,525
35201522,578,320,210,530
35201523,405,260,85,345
35201524,534,365,80,445
35201525,483,315,85,400
35201526,1648,1185,210,1395
35201532,673,495,70,565
35201541,642,415,100,515
35201542,558,375,90,465
35201543,543,360,75,435
35201544,484,325,65,390
35201545,583,415,95,510
35201547,674,460,90,550
35201548,440,290,60,350
35201552,514,335,70,405
35201553,566,380,90,470
35201554,555,385,90,475
35201555,638,440,100,540
35201556,631,410,150,560
35201557,468,345,95,440
35201558,607,400,105,505
35201559,630,370,185,555
35201560,455,315,45,360
35201563,415,295,45,340
35201564,433,320,65,385
